iter	Passed	Remaining
0	15	15679
1	28	14347
2	45	15086
3	58	14679
4	71	14151
5	87	14526
6	103	14622
7	115	14306
8	129	14252
9	141	13971
10	151	13620
11	167	13776
12	178	13545
13	189	13345
14	203	13339
15	215	13276
16	227	13142
17	245	13398
18	265	13695
19	275	13513
20	288	13452
21	300	13339
22	311	13224
23	336	13704
24	364	14197
25	380	14250
26	397	14306
27	444	15420
28	495	16605
29	516	16690
30	534	16719
31	553	16733
32	570	16727
33	585	16649
34	597	16473
35	611	16373
36	623	16224
37	636	16118
38	650	16024
39	664	15942
40	679	15894
41	691	15766
42	703	15662
43	715	15542
44	732	15546
45	745	15466
46	758	15372
47	772	15327
48	788	15294
49	799	15197
50	820	15259
51	832	15171
52	847	15150
53	860	15071
54	869	14944
55	883	14886
56	896	14826
57	923	15001
58	941	15013
59	953	14934
60	967	14894
61	1006	15227
62	1021	15190
63	1036	15153
64	1051	15127
65	1065	15077
66	1078	15017
67	1109	15210
68	1125	15184
69	1138	15121
70	1149	15040
71	1162	14977
72	1174	14908
73	1185	14830
74	1196	14761
75	1209	14705
76	1222	14650
77	1234	14591
78	1245	14522
79	1257	14463
80	1265	14359
81	1273	14259
82	1286	14216
83	1299	14168
84	1308	14083
85	1322	14052
86	1338	14047
87	1350	13997
88	1360	13922
89	1374	13902
90	1389	13881
91	1406	13879
92	1421	13860
93	1435	13834
94	1449	13803
95	1458	13737
96	1483	13807
97	1501	13817
98	1517	13807
99	1530	13774
100	1547	13775
101	1559	13732
102	1579	13752
103	1591	13709
104	1602	13659
105	1614	13614
106	1627	13583
107	1640	13548
108	1647	13468
109	1660	13433
110	1674	13410
111	1682	13342
112	1693	13291
113	1702	13234
114	1714	13196
115	1725	13146
116	1731	13069
117	1742	13022
118	1754	12989
119	1762	12927
120	1773	12884
121	1781	12822
122	1792	12777
123	1801	12727
124	1812	12687
125	1820	12630
126	1832	12599
127	1845	12570
128	1854	12522
129	1864	12476
130	1872	12421
131	1882	12380
132	1894	12351
133	1905	12314
